report_date,account_id,campaign_id,impressions,clicks,costs,conversions
2020-04-01 00:00:00,1001289337,24471016,441,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,343,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,2805,1,83.659,0
2020-04-01 00:00:00,1001289337,24471016,8644,2,274.222,0
2020-04-01 00:00:00,1001289337,24471017,58,0,0.0,0
2020-04-01 00:00:00,1001289337,26114546,2284,11,1101.27,1
2020-04-01 00:00:00,1001289337,24471016,184,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,913,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,236,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,966,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,369,1,89.286,0
2020-04-01 00:00:00,1001396452,30354006,3012,1,139.766,0
2020-04-01 00:00:00,1001388197,30165046,3,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,77,0,0.0,0
2020-04-01 00:00:00,1001396452,30375895,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,492,2,63.646,0
2020-04-01 00:00:00,1001388197,30356586,2,0,0.0,0
2020-04-01 00:00:00,1001396452,30354007,16207,3,143.978,0
2020-04-01 00:00:00,1001396452,30413683,7919,5,214.096,0
2020-04-01 00:00:00,1001396452,30299635,1272,1,83.834,0
2020-04-01 00:00:00,1001289337,28439198,445,1,28.555,0
2020-04-01 00:00:00,1001289337,24471016,108,0,0.0,0
2020-04-01 00:00:00,1001388197,30356586,3,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,6785,2,653.382,1
2020-04-01 00:00:00,1001388197,30411164,1503,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,255,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,180,1,94.771,0
2020-04-01 00:00:00,1001396452,30299635,3874,3,224.228,0
2020-04-01 00:00:00,1001396452,30117280,7287,2,91.389,0
2020-04-01 00:00:00,1001396452,30117280,99465,52,2349.454,0
2020-04-01 00:00:00,1001854178,30284391,713,3,407.052,0
2020-04-01 00:00:00,1001289337,24471016,669,1,19.852,0
2020-04-01 00:00:00,1001289337,28439198,75,3,116.929,0
2020-04-01 00:00:00,1001396452,30279304,306,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,1218,0,0.0,0
2020-04-01 00:00:00,1001854178,30284391,104,1,60.935,0
2020-04-01 00:00:00,1001396452,30279304,999,2,137.086,0
2020-04-01 00:00:00,1001388197,30411164,859,1,109.037,0
2020-04-01 00:00:00,1001289337,24471017,3253,1,25.377,0
2020-04-01 00:00:00,1001388197,30356586,1,0,0.0,0
2020-04-01 00:00:00,1001854178,30284391,466,3,2051.437,0
2020-04-01 00:00:00,1001854178,30284391,443,1,84.761,0
2020-04-01 00:00:00,1001289337,28439198,1089,0,0.0,0
2020-04-01 00:00:00,1001854178,30305886,8097,13,3094.886,0
2020-04-01 00:00:00,1001289337,28439198,202,0,0.0,0
2020-04-01 00:00:00,1001854178,30284391,482,3,197.237,0
2020-04-01 00:00:00,1001396452,30279305,679,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,79,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,459,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,15761,19,2442.902,0
2020-04-01 00:00:00,1001289337,30161119,66,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,235,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,101,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,237,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,281,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,303,0,0.0,0
2020-04-01 00:00:00,1001718067,30376558,2290,2,45.129,0
2020-04-01 00:00:00,1001388197,30411164,294,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,384,1,30.388,0
2020-04-01 00:00:00,1001718067,30376558,7400,21,476.801,0
2020-04-01 00:00:00,1001289337,24471016,246,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,1603,1,26.059,0
2020-04-01 00:00:00,1001388197,30411163,3090,3,295.011,0
2020-04-01 00:00:00,1001396452,30375895,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30299635,1212,2,168.321,0
2020-04-01 00:00:00,1001396452,30299635,4100,6,391.387,0
2020-04-01 00:00:00,1001289337,24471016,352,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,642,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,545,0,0.0,0
2020-04-01 00:00:00,1001718067,30376559,80200,18,345.792,0
2020-04-01 00:00:00,1001396452,30279304,501,1,97.46,0
2020-04-01 00:00:00,1001718067,30376559,255081,66,1139.578,0
2020-04-01 00:00:00,1001396452,30279304,3642,5,133.902,0
2020-04-01 00:00:00,1001396452,30279304,459,1,75.366,0
2020-04-01 00:00:00,1001289337,24471017,91,1,29.115,0
2020-04-01 00:00:00,1001289337,24471017,118,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,3720,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,2944,0,0.0,0
2020-04-01 00:00:00,1001396452,30117280,27210,5,271.62,0
2020-04-01 00:00:00,1001388197,30165046,1,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,149,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,17,0,0.0,0
2020-04-01 00:00:00,1001396452,30145511,21389,18,1511.998,0
2020-04-01 00:00:00,1001396452,30145511,1782,3,254.123,0
2020-04-01 00:00:00,1001289337,24471016,626,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,203,3,185.896,0
2020-04-01 00:00:00,1001718067,30376559,4736,7,120.134,0
2020-04-01 00:00:00,1001289337,24471016,5667,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,80,0,0.0,0
2020-04-01 00:00:00,1001396452,30320771,0,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,433,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,1247,2,161.878,0
2020-04-01 00:00:00,1001718067,30376558,47074,23,547.018,0
2020-04-01 00:00:00,1001289337,24471016,1994,2,857.347,1
2020-04-01 00:00:00,1001718067,30376558,5291,9,244.235,5
2020-04-01 00:00:00,1001388197,30411164,1652,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,1834,3,282.319,0
2020-04-01 00:00:00,1001289337,28439198,548,2,80.358,0
2020-04-01 00:00:00,1001289337,24471016,3197,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,272,0,0.0,0
2020-04-01 00:00:00,1001289337,24471017,351,0,0.0,0
2020-04-01 00:00:00,1001396452,30279306,6631,18,480.43,0
2020-04-01 00:00:00,1001396452,30413682,9354,9,883.867,0
